model,auroc,auroc_lo,auroc_hi,auprc,family
transcriptomics only,0.7555964032745408,0.7417774663359553,0.7686166091694729,0.6680580480797078,logreg_l2
early fusion (all omics),0.7503707117807362,0.7354782543397999,0.7604676306593149,0.6682334825473297,logreg_l2
proteomics only,0.6956381241513052,0.6778679185823053,0.7264372973939978,0.6011020365950931,logreg_l2
genetics only,0.5534701230588552,0.5285573762004608,0.5715778414704811,0.4737058799179329,logreg_l2
early fusion (all omics),0.741539790386714,0.7296328828109664,0.7592535787321063,0.6606304708940933,random_forest
transcriptomics only,0.7276577710104019,0.7167304046204004,0.7377404157283011,0.635916800846815,random_forest
proteomics only,0.6650475359838237,0.6495223541706818,0.6843434950156977,0.5604799200551353,random_forest
genetics only,0.5401802874136553,0.5269990422199788,0.557401069452204,0.44977116862391686,random_forest
