ancestry,sex,n,n_cases,or_,ci_low,ci_high,beta,se,p
AFR,F,465,188,1.6208302186815176,1.0996816136170335,2.388955644307122,0.48293849863852695,0.19791724637602226,0.01468306822276489
AFR,M,339,127,1.3215311523940905,0.810402546790684,2.155033438214423,0.27879102829482927,0.24949755699659146,0.26381912453595235
AMR,F,217,92,1.445747051484134,0.7966098862810291,2.6238496067794084,0.36862617861723324,0.3040899879247533,0.22542539203933687
AMR,M,145,57,1.7135738764295294,0.8599520907282324,3.414533741635711,0.5385811757477633,0.3517651915763593,0.12574925242094023
EAS,F,228,85,2.086776244993733,1.2249869968094471,3.554841894658518,0.7356204086403793,0.27178070385176417,0.0067961978990805005
EAS,M,153,61,2.3133644069727493,1.1990061099303355,4.463409181258736,0.8387029181693589,0.33531119708255447,0.012374975239534736
EUR,F,1419,611,1.7601629526374538,1.4277703887857198,2.1699382787118258,0.56540639149,0.10678180238159007,1.1903624783305339e-07
EUR,M,1034,407,1.8899550806616017,1.4505903235445863,2.4623976521437285,0.6365530619434017,0.13499105544680118,2.410938560319135e-06
