ancestry,n,n_cases,or_,ci_low,ci_high,beta,se,p
AFR,804,315,1.5199744211689208,1.1260590065000387,2.051688435216753,0.4186935065382481,0.15304570130231127,0.006223986035965353
AMR,362,149,1.4548969252253972,0.9375880907868496,2.257627932596607,0.3749350563445727,0.2241732746890126,0.09442114983642642
EAS,381,146,2.2142471755134707,1.470867723471272,3.3333320706082805,0.794912470111606,0.208704058875889,0.00013964162944631045
EUR,2453,1018,1.8210139465851947,1.5460835315687846,2.1448335267454817,0.5993934594669361,0.083504326526721,7.074225463534885e-13
